Molecular Name,Total Helix Ratio,Left Helix Ratio,Right Helix Ratio,Formatted Helix Ratio
e6,0.0847457627118644,0.03389830508474576,0.05084745762711865,60:40
e7,0.10687022900763359,0.05343511450381679,0.05343511450381679,50:50
e8,0.17543859649122806,0.08421052631578947,0.0912280701754386,52:48
e9,0.20785597381342064,0.10638297872340426,0.10147299509001637,48:51
e10,0.28899445764053844,0.14093428345209819,0.14806017418844022,51:48
e11,0.34230614704700685,0.1747689835275211,0.16753716351948575,48:51
