Molecule,Diamond_MacroModel,Diamond_RDKit,LMCS,MCLMCS,MCMM,SPMC
c10n,802,836,1053,1060,1062,1071
c12p,9,9,2,2,2,2
c12p0,9,9,2,2,2,2
c12p1,9,9,7,7,7,7
c15,611,608,1102,1143,1115,1236
c15a,571,569,937,947,912,957
c15b,561,556,1017,1032,1000,1106
c15c,605,609,1170,1149,1126,1172
c15d,641,645,1054,1110,1039,1042
c15e,541,524,843,835,815,909
c15f,487,491,896,886,841,954
c15g,630,639,1029,1036,1020,1163
c15helix,664,672,788,808,794,835
c16,3625,14,4044,3965,3845,2110
c17,1427,51,1155,1196,1286,673
c17l,197,5125,4348,4614,4989,1943
c18,55,52,2667,2105,1715,1155
c18n,225,6486,3855,4142,3621,1992
c19,98,80,2185,1962,1194,641
c21,303,1435,2191,1943,1299,700
c26,741,652,1963,1549,791,911
c4,3,3,3,3,3,3
c5,1,1,1,1,1,1
c5n,9,9,7,7,7,7
c6,3,3,3,3,3,3
c6n,25,25,22,22,22,22
c7,2,3,1,1,1,1
c7c,24,24,34,34,34,34
c7n,39,71,54,54,54,54
c8,3,3,1,1,1,1
c8a,25,25,33,33,33,33
c8s,24,24,23,23,23,23
c8si,24,24,23,23,23,23
c9,57,54,10,10,9,9
c9n,299,297,397,397,397,397
c9s,59,60,95,95,95,95
