Molecule,Diamond_MacroModel,Diamond_RDKit,LMCS,MCLMCS,MCMM,SPMC
c10n,594,1150,544,551,550,551
c12p,9,9,2,2,2,2
c12p0,9,9,2,2,2,2
c12p1,9,9,7,7,7,7
c15,473,467,728,738,720,763
c15a,508,501,735,741,722,765
c15b,444,443,722,737,718,758
c15c,457,455,744,754,726,786
c15d,519,526,788,777,781,802
c15e,499,498,675,691,695,730
c15f,458,460,807,798,803,853
c15g,534,530,756,768,754,822
c15helix,432,395,419,433,427,436
c16,2604,13,3150,2917,2549,1568
c17,1083,51,793,810,826,578
c17l,133,2873,2830,2260,2124,1229
c18,55,52,1598,1388,982,899
c18n,145,3481,2874,2157,1441,1762
c19,98,16,1609,1475,974,871
c21,303,89,1392,1193,759,1042
c26,460,442,1954,1584,676,601
c4,3,3,3,3,3,3
c5,1,1,1,1,1,1
c5n,9,9,7,7,7,8
c6,3,3,3,3,3,3
c6n,25,25,20,20,20,20
c7,3,3,1,1,1,1
c7c,24,24,32,32,32,32
c7n,39,67,48,48,48,48
c8,3,3,1,1,1,1
c8a,23,23,27,27,27,27
c8s,22,22,20,20,20,20
c8si,22,22,20,20,20,21
c9,57,54,10,9,8,10
c9n,257,389,256,256,256,256
c9s,50,51,72,72,72,72
